source,target,previous_speaker,responding_speaker,previous_quote,response_quote,response_sentence_count,token_gap
Jo,Meg,Jo,Meg," Oh . very ! His hair is auburn , not red , and he was very po lite , and I had a delicious redowa with him . ", He looked like a grasshopper in a fit when he did the new step . Laurie and I could n't help laughing . Did you hear us ? ,3,1
Jo,Meg,Meg,Jo, He looked like a grasshopper in a fit when he did the new step . Laurie and I could n't help laughing . Did you hear us ? ," No , but it was very rude . What were you about all that time , hidden away there ? ",2,1
Jo,Meg,Jo,Meg, Tell about the party ! Tell about the party ! ," I declare , it really seems like being a fine young lady , to come home from the party in a carriage and sit in my dressing gown wit a maid to wait on me , ",1,38
Jo,Meg,Meg,Jo," I declare , it really seems like being a fine young lady , to come home from the party in a carriage and sit in my dressing gown wit a maid to wait on me , "," I do n't believe fine young ladies enjoy themselv es a bit more than we do , in spite of our burned hair , old gowns , one glove apiece and tight slippers that sprain our ankles when we are silly enough to wear them , ",1,17
Jo,Meg,Jo,Meg," I do n't believe fine young ladies enjoy themselv es a bit more than we do , in spite of our burned hair , old gowns , one glove apiece and tight slippers that sprain our ankles when we are silly enough to wear them , "," Oh , dear , how hard it does seem to take up our packs and go on , ",1,13
Jo,Meg,Meg,Jo," Oh , dear , how hard it does seem to take up our packs and go on , ", I wish it was Christmas or New Year 's all the time . Would n't it be fun ? ,2,35
Jo,Meg,Jo,Meg, I wish it was Christmas or New Year 's all the time . Would n't it be fun ? ," We should n't enjoy ourselves half so much as we do now . But it does seem so nice to have little suppers and bouquets , and go to parties , and drive home , and read and rest , and not work . It 's like other peopl e , you know , and I always envy girls who do such things , I 'm so fond of luxury , ",3,7
Jo,Meg,Meg,Jo," I shall have to toil and moil all my days , with only little bits of f un now and then , and get old and ugly and sour , because I 'm poor and can ' t enjoy my life as other girls do . It 's a shame ! ", There never was such a cross family ! ,1,114
Amy,Jo,Jo,Amy, There never was such a cross family ! , You 're the crossest person in it ! ,1,26
Amy,Meg,Amy,Meg, You 're the crossest person in it ! ," Beth , if you do n't keep these horrid cats down cellar I 'll have them drowned , ",1,22
Meg,Mrs. March,Meg,Mrs. March," Beth , if you do n't keep these horrid cats down cellar I 'll have them drowned , "," Girls , girls , do be quiet one minute ! I must get this off by the early mail , and you drive me distracted with your worry , ",2,53
Jo,Mrs. March,Mrs. March,Jo," Girls , girls , do be quiet one minute ! I must get this off by the early mail , and you drive me distracted with your worry , "," Cuddle your cats and get over your headache , Bethy . Good - by , Marmee . We are a set of rascals this morning , but we 'll come home regular angels . Now then , Meg ! ",4,116
Jo,Meg,Jo,Meg," If Marmee shook her fist instea d of kissing her hand to us , it would serve us right , for more ungrateful wretches than we are were never seen , "," Do n't use such dreadful expressions , ",1,16
Jo,Meg,Meg,Jo," Do n't use such dreadful expressions , "," I like good strong words that mean something , ",1,23
Meg,child,child,Meg," She caught up her knitting , which had dropped out of her hands , gave me a sharp look through her specs , and said , in her short way , ` Finish the chapter , and do n't be impertinent , miss ' . ", Did she own she liked it ? ,1,1
Jo,Meg,Meg,Jo, Did she own she liked it ? ," Oh , bless you , no ! But she let old Belsham rest , and when I ran back after my gloves this afternoon , there she was , so hard at the Vicar that she did n't hear me laugh as I danced a jig in the hall because of the good time coming . What a pleasant life she might have if only she chose ! I do n't envy her much , in spite of her money , for after all rich people have about as many worries as poor ones , I think , ",4,4
Jo,Meg,Jo,Meg," Oh , bless you , no ! But she let old Belsham rest , and when I ran back after my gloves this afternoon , there she was , so hard at the Vicar that she did n't hear me laugh as I danced a jig in the hall because of the good time coming . What a pleasant life she might have if only she chose ! I do n't envy her much , in spite of her money , for after all rich people have about as many worries as poor ones , I think , "," That reminds me , ",1,4
Amy,Meg,Meg,Amy," that I 've got something to tell . It is n't funny , like Jo 's story , but I thought about it a good deal as I came home . At the Kings ' today I found everybody in a flurry , and one of the children said that her oldest brother had done something dreadful , and Papa had sent him away . I heard Mrs. King crying and Mr. King talking very loud , and Grace and Ellen turned away their faces when they passed me , so I should n't see how red and swollen their eyes were . I did n't ask any questions , of course , but I felt so sorry for them and was rather glad I had n't any wild brothers to do wicked things and disgrace the family . "," I think being disgraced in school is a great deal tryinger than anything bad boys can do , ",1,1
Amy,Jo,Amy,Jo," Susie Perkins came to school today with a lovely red carnelian ring . I wanted it dreadfully , and wished I was her with all my might . Well , she drew a picture of Mr. Davis , with a monstrous nose and a hump , and the words , ` Young ladies , my eye is upon you ! ' coming out of his mouth in a balloon thing . We we re laughing over it when all of a sudden his eye was on us , and he ordered Susi e to bring up her slate . She was parrylized with fright , but she went , and oh , what do you think he did ? He took her by the ear -- the ear ! Just fancy how horrid!--and led her to the recitati on platform , and made her stand there half and hour , holding the slate so everyone could see . ", Did n't the girls laugh at the picture ? ,1,1
Beth,Jo,Jo,Beth," Laugh ? Not one ! They sat still as mice , a nd Susie cried quarts , I know she did . I did n't envy her then , for I felt that millions of car nelian rings would n't have made me happy after that . I never , never shoul d have got over such a agon izing mortification . "," I saw something I liked this morning , and I meant to tell it at dinner , but I forgot , ",1,28
Beth,sir,Beth,sir," As I sat cut ting out blue flannel jackets today at the rooms , I felt very anxious about Father , an d thought how lonely and helpless we should be , if anything happened to him . It was not a wise thing to do , but I kept on worrying till an old man came in with an order for some clothes . He sat down near me , and I began to talk to him , for he looked poor and tired and anxious . "," ' Not a mite more than I ought , ma'am . I 'd go my self , if I was any use . As I ai n't , I give my boys , and give 'em free . ' ",5,91
Mother,sir,sir,Mother," ' Not a mite more than I ought , ma'am . I 'd go my self , if I was any use . As I ai n't , I give my boys , and give 'em free . ' ", ,2,117
Mother,These girls,Mother,These girls, ," ( Here the listeners stole sly looks at one another , and began to sew diligently . ) ",3,117
These girls,an old woman,These girls,an old woman," ( Here the listeners stole sly looks at one another , and began to sew diligently . ) "," ( Here Jo looked up quickly , as if about to speak , but changed her mind , seeing that the story was not done yet . ) ",2,103
Father,the old woman,the old woman,Father, ," said Beth thought fully , putting the needles straight on Jo 's cushion . ",2,51
Father,Marmee,Father,Marmee," said Beth thought fully , putting the needles straight on Jo 's cushion . "," added Jo , who could not , for the life of he r , help getting a morsel of fun out of the little sermon , though she took it to heart as much as any of them . CHAPTER 5 : Being Neighborly ",2,86
Jo,Marmee,Marmee,Jo," added Jo , who could not , for the life of he r , help getting a morsel of fun out of the little sermon , though she took it to heart as much as any of them . CHAPTER 5 : Being Neighborly "," asked Meg one snowy afternoon , as her sister came tramping through the hall , in r ubber boots , old sack , and hood , with a broom in one hand and a shovel in the other . ",3,14
Grandpa,That boy,That boy,Grandpa, , ,2,19
Grandpa,Mr. Brooke,Grandpa,Mr. Brooke, , ,2,23
Mr. Brooke,someone,Mr. Brooke,someone, , ,2,9
boys,someone,someone,boys, , ,2,23
boys,girls,boys,girls, , ,2,23
That boy,girls,girls,That boy, , ,2,6
Jo,Mother,Jo,Mother," said Laur ie , going to the door of his little parlor to meet Jo , who appeared , looking rosy and quite at her ease , with a covered dish in one hand and Beth 's three kittens in the other . ", she said briskl y. ,2,9
Beth,Mother,Mother,Beth, she said briskl y. ," It so happened that Beth 's funny loan was just the thing , for in laughing over the kits , Laurie forgot his bashfulness , and grew sociable at once . ",3,64
Beth,The girl,Beth,The girl," he said , sm iling with pleasure , as Jo uncovered the dish , and showed the blancmange , surrounded by a garland of green leaves , and the scarlet flowers of Amy 's pet geranium . ", ,2,61
Amy,Beth,Beth,Amy, ," Laurie colored up , but answered frankly , ",2,19
A fellow,your grandpa,A fellow,your grandpa, she added impressively . , ,2,52
The doctor,your grandpa,your grandpa,The doctor, , and the maid beckoned as she spoke . ,2,139
sir,the poor woman,the poor woman,sir," And off went Jo , talking very fast , as she told all about the Hummels , in whom her mother had interested richer friends than they were . ", ,2,49
Meg,sir,sir,Meg, , And Mr. Lauren ce offered her his arm with old - fashioned courtesy . ,3,11
Meg,sir,Meg,sir," thought Jo , as she was marched away , while her eyes danced with fun as she imagined herself telling the story at home . "," he began , as Jo gave him a triumphant little glance . ",2,59
a gentleman,sir,sir,a gentleman," he began , as Jo gave him a triumphant little glance . "," And having pulled the boy 's hair by way of a caress , Mr. Laurence walked on , while Laurie went through a series of comic evolutions behind their backs , which nearly produced an explosion of laughter from Jo . The old gentleman did not say much as he drank his four cups of tea , but he watched the young people , who soon chatted away like old friends , and the change in his grandson did not escape him . There was color , light , and life in the boy 's face now , vivacity in his manner , and genuine merriment in his laugh . ",5,25
Beth,your mother,your mother,Beth," They found Mr. Laurence standing before the fire in the great drawing room , by Jo 's attention was entirely absorbed by a grand piano , which stood open . ", ,2,42
Jo,young lady,Jo,young lady," He shook hands kindly , but looke d as if something did not please him . When they got into the hall , Jo asked Laurie if she had said something amiss . He shook his head . ", ,2,72
Laurie,young lady,young lady,Laurie, , ,2,26
Laurie,Mother,Laurie,Mother, ," When all the afternoon 's adventures had been told , the family felt inclined to go visiting in a body , for each found something very attractive in the big house on the other side of the hedge . Mrs. March wanted to talk of her father with the old man who had not forgotten him , Meg longed to walk in the c onservatory , Beth sighed for the grand piano . and Amy was eager to see the fine pictures and statues . ",5,9
Laurie,Mother,Mother,Laurie," When all the afternoon 's adventures had been told , the family felt inclined to go visiting in a body , for each found something very attractive in the big house on the other side of the hedge . Mrs. March wanted to talk of her father with the old man who had not forgotten him , Meg longed to walk in the c onservatory , Beth sighed for the grand piano . and Amy was eager to see the fine pictures and statues . "," asked Jo , who was of an inquiring disposition . ",2,14
Italians,Jo,Jo,Italians, ," said Meg , who was a little sentimental . ",2,22
Italians,Laurie,Italians,Laurie," said Meg , who was a little sentimental . ", ,2,63
Laurie,Meg,Laurie,Meg, , ,2,29
Jo,Meg,Meg,Jo, , ,2,103
